user_id,K,avg_throughput
0,K0,0.0
1,K0,0.0
2,K0,0.0
3,K0,108.99822326905111
4,K0,0.0
5,K0,0.0
6,K0,0.0
7,K0,0.0
8,K0,0.0
9,K0,0.0
10,K0,0.0
11,K0,0.0
12,K0,0.0
13,K0,0.0
14,K0,0.0
15,K0,0.0
16,K0,0.0
17,K0,110.58266762859628
18,K0,0.0
19,K0,0.0
20,K0,110.30917945798028
21,K0,0.0
22,K0,0.0
23,K0,0.0
24,K0,109.42454014059626
25,K0,0.0
26,K0,0.0
27,K0,0.0
28,K0,0.0
29,K0,0.0
30,K0,0.0
31,K0,113.03236170800528
32,K0,0.0
33,K0,0.0
34,K0,108.7165568448302
35,K0,0.0
36,K0,0.0
37,K0,0.0
38,K0,0.0
39,K0,111.76072799102091
40,K0,0.0
41,K0,0.0
42,K0,0.0
43,K0,0.0
44,K0,0.0
45,K0,0.0
46,K0,0.0
47,K0,0.0
48,K0,0.0
49,K0,109.8285244062219
50,K0,0.0
51,K0,0.0
52,K0,0.0
53,K0,0.0
54,K0,0.0
55,K0,0.0
56,K0,0.0
57,K0,107.65449730973849
58,K0,0.0
59,K0,0.0
60,K0,0.0
61,K0,0.0
62,K0,0.0
63,K0,0.0
64,K0,0.0
65,K0,0.0
66,K0,0.0
67,K0,0.0
68,K0,109.24211667981909
69,K0,112.43072927663228
70,K0,111.21058079015033
71,K0,0.0
72,K0,0.0
73,K0,0.0
74,K0,0.0
75,K0,0.0
76,K0,0.0
77,K0,0.0
78,K0,108.70972965102936
79,K0,0.0
80,K0,0.0
81,K0,0.0
82,K0,0.0
83,K0,0.0
84,K0,113.03540847240555
85,K0,0.0
86,K0,0.0
87,K0,0.0
88,K0,110.76594139785657
89,K0,111.52814452656906
90,K0,0.0
91,K0,0.0
92,K0,0.0
93,K0,0.0
94,K0,0.0
95,K0,0.0
96,K0,0.0
97,K0,0.0
98,K0,107.84178665017122
99,K0,0.0
100,K0,0.0
101,K0,0.0
102,K0,0.0
103,K0,0.0
104,K0,0.0
105,K0,0.0
106,K0,0.0
107,K0,0.0
108,K0,113.36533460374264
109,K0,108.59705386986097
110,K0,0.0
111,K0,0.0
112,K0,114.05719030485685
113,K0,0.0
114,K0,0.0
115,K0,0.0
116,K0,113.34159100722998
117,K0,0.0
118,K0,108.34945602391227
119,K0,107.4626386511285
120,K0,0.0
121,K0,0.0
122,K0,107.93524593434985
123,K0,109.93823145550394
124,K0,0.0
125,K0,0.0
126,K0,0.0
127,K0,0.0
128,K0,0.0
129,K0,0.0
130,K0,0.0
131,K0,0.0
132,K0,0.0
